COM,name of commune,global score,dpt score,region score,dept name,dept number,region name,Acces aux interfaces numériques,Acces a l’information,Compétences Administratives,Competences numériques/Scolaires
35027,Boisgervilly,"78,138918918","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"97,403259507","55,194548404","95,147449022","82,946854085"
35028,Boistrudan,"94,426898911","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"96,742814691","107,999283236","96,220077345","78,799967478"
35029,Bonnemain,"94,424916158","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"89,819844918","97,644110416","74,088715797","103,676357701"
35030,La Bosse-de-Bretagne,"69,580351486","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"96,516712392","51,737013349","72,914013729","72,28867805"
35031,La Bouëxière,"79,690860893","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"104,255467335","56,466734619","98,1119287","81,422150041"
35032,Bourgbarré,"75,046648168","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"105,822235142","58,557844535","104,318832627","61,511566086"
35033,Bourg-des-Comptes,"73,959954452","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"103,781863769","69,025903708","74,732435159","63,596810182"
35034,La Boussac,"95,001717148","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"89,635665754","96,608186805","81,684835418","102,736714052"
35035,Bovel,"82,647971817","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"94,107814459","92,43546204","74,309204975","71,299943694"
35037,Bréal-sous-Montfort,"81,014565029","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"106,0438625","78,005859173","96,73492475","63,648442287"
35038,Bréal-sous-Vitré,"82,221929599","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"97,209857253","67,810223302","90,324806767","85,088233484"
35039,Brécé,"71,429853878","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"104,891117612","54,501930614","92,792573211","60,94578561"
35040,Breteil,"87,2594341","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"101,522960487","75,604770214","98,746237207","86,03893324"
